"","variable","mean","median","sd","q5","q95"
"1","mu",0.0525884053212518,0.0524052425,0.0215693256364351,0.01738695385,0.088082849
"2","theta[1]",-0.157226016354451,-0.15737966,0.109087592709982,-0.3342211475,0.0225481402
"3","theta[2]",0.162623604579476,0.16420534,0.0994483268637804,-0.003350170105,0.3257413615
"4","theta[3]",0.301992784394116,0.304814315,0.106639216059175,0.12376365,0.4734585925
"5","sigma",0.142410290541,0.14155693,0.0121491830595677,0.1240869365,0.1634911875
